ID,FAMILY,SEX,LSB,LSW,COHORT,area1,area6,area2,area3,area4,area5,area7,A1,A2,A3,A4,A5
648,4,F,11,10,1,0.4931061732,1.2321020707,6.1985674523,5.3829201849,12.3299082307,10.6740448744,1.2321020707,0,0,0,0,0
649,1,F,10,10,1,0.5450905231,0.7917209399,4.7470081664,4.4482535983,10.2200381827,8.9905290179,0.7917209399,0,1,0,0,0
650,1,M,10,11,1,0.4819262292,0.9464228225,5.5656297042,4.9164981862,10.7579341236,9.7005458235,0.9464228225,1,1,0,0,0
651,4,F,11,11,1,0.548530207,1.1460163124,5.475084206,4.9724099409,12.4562378264,11.1394565485,1.1460163124,0,-1,1,0,-1
652,1,M,10,11,1,0.5967422092,1.0122683617,5.3796611038,4.6643400712,10.5520021482,9.2666627807,1.0122683617,1,0,0,0,-1
653,1,M,10,11,1,0.5666919675,1.0191017767,5.87013158,5.0575429476,10.9522520293,9.5743471229,1.0191017767,0,1,0,0,-1
654,4,M,11,11,1,0.6526253874,1.1006585192,5.74103405700904,5.64238651775365,12.6286412296672,10.5553325299917,1.1769444268756,-1,0,1,1,-1
655,1,M,10,11,1,0.5605229677,0.9178379499,5.0335843489,4.3967915339,10.3141154231,8.9443753837,0.9178379499,0,1,0,0,0
656,4,M,11,11,1,0.4949231472,1.1551770665,5.8502904494,6.2286556741,12.1465023053,9.8233856889,1.1551770665,-1,1,0,0,1
657,4,F,11,11,1,0.4563150344,1.0342478038,4.9299044673,4.7221435663,11.4579604667,9.573588447,1.0342478038,1,0,0,0,1
658,4,F,11,11,1,0.4988354206,1.1916509147,5.29785848319096,4.58028141554635,11.8881265106328,9.8503547988083,1.1153650070244,-1,-1,1,-1,-1
659,4,F,11,11,1,0.6116318436,1.2927710635,5.90618449939096,5.54071629534635,13.2128449928328,11.0176463830083,1.2164851558244,0,0,0,-1,0
660,1,M,10,11,1,0.5081078575,0.7787415176,4.6048600981,4.3126603478,10.023600797,8.6800905463,0.7787415176,1,0,0,0,0
661,13,M,8,8,1,0.4036371551,1.0127373991,5.55417171890904,5.39477415675365,11.6175866774672,10.0596993337917,1.0890233067756,-1,1,-1,1,-1
662,13,M,8,8,1,0.5833835514,1.0909118782,6.3661931197,5.0467704154,11.3238355459,10.3843407671,1.0909118782,-1,0,-1,0,0
663,13,M,8,8,1,0.5040385239,1.0563282998,6.06617238469096,5.05073613274635,11.4452586404328,10.1790639956083,0.980042392124397,0,1,-1,-1,0
664,2,F,10,8,1,0.4046334631,0.8601367776,4.5330647774,5.0569726062,11.3047926902,9.6274544248,0.8601367776,-1,0,-1,0,0
666,2,F,10,8,1,0.4954345134,1.0147496536,4.8355246712,4.4849741044,10.9585239444,9.6615495721,1.0147496536,-1,0,-1,0,0
667,2,M,10,8,1,0.5003407374,0.7018875971,4.8027100646,4.3630911363,10.263801696,8.9839578419,0.7018875971,-1,0,-1,0,0
668,2,F,10,8,1,0.5372643693,1.0229758509,5.16713265360904,4.67045528355365,10.7426243557672,9.1342423896917,1.0992617585756,-1,0,-1,1,0
669,13,M,8,10,1,0.4267798507,1.019844758,5.50001625269096,5.10187394394635,11.5980621820328,10.2610525830083,0.943558850324397,0,0,0,-1,-1
670,13,F,8,10,1,0.2729605297,1.0673024387,4.90646716189096,4.84272502684636,11.0437130342328,9.8577969424083,0.991016531024397,-1,0,-1,-1,0
671,2,F,10,10,1,0.7105910943,0.9158324117,4.60039892109096,4.13156452634635,10.2982188669328,9.6735216776083,0.839546504024397,-1,0,-1,-1,0
672,13,M,8,10,1,0.5591332947,1.0025060502,6.0727865978,4.9545154539,11.2497327762,10.089076839,1.0025060502,0,0,0,0,-1
